製品,製品単位,部品,必要量,部品単位,行番,不要
3/E7167,K,1/23251,0.63,K,3,3
3/E7177,K,1/10291,0.39,K,2,2
3/E7177,K,1/23251,0.63,K,3,3
3/E7264,K,3/256JA,1.02,K,2,2
3/E7384,K,3/256NA,1.02,K,2,2
3/E7544,K,3/256QA,1.02,K,2,2
3/F0818,K,3/R0819,0.99,K,2,2
3/F0818,K,1/11691,0.11,K,3,3
3/F1408,K,3/R1409,0.85,K,2,2
3/F1408,K,1/25732,0.18,K,3,3
3/F1448,K,3/R1445,0.83,K,2,2
3/F1448,K,1/24031,0.2,K,3,3
3/F1468,K,3/R1469,0.85,K,2,2
3/F1468,K,1/85161,0.19,K,3,3
3/F1698,K,3/R1779,0.85,K,2,2
3/F1698,K,1/24031,0.17,K,3,3
3/F2017,K,1/11691,0.23,K,2,2
3/F2017,K,1/25871,0.37,K,3,3
3/F2017,K,1/12991,0.43,K,4,4
3/F2246,K,3/103LA,0.32,K,2,2
3/F2246,K,3/111RA,0.61,K,3,3
3/F2246,K,1/11691,0.17,K,4,4
3/G1064,K,3/508AA,0.28,K,2,2
3/G1064,K,1/85151,0.76,K,3,3
3/G1936,K,1/844GG,0.36,K,2,2
3/G1936,K,1/85151,0.68,K,3,3
3/G3007,K,1/857AS,0.28,K,2,2
3/G3007,K,1/25201,0.74,K,3,3
3/G3017,K,1/857BA,0.28,K,2,2
3/G3017,K,1/25201,0.74,K,3,3
3/G3155,K,1/964AA,0.42,K,2,2
3/G3155,K,1/25871,0.62,K,3,3
3/G4024,K,3/507JA,0.36,K,2,2
3/G4024,K,1/25312,0.67,K,3,3
3/G4044,K,3/507JA,0.36,K,2,2
3/G4044,K,1/85181,0.67,K,3,3
3/G4064,K,3/507KA,0.43,K,2,2
3/G4064,K,1/25101,0.61,K,3,3
3/G4084,K,3/507KA,0.36,K,2,2
3/G4084,K,1/85181,0.67,K,3,3
3/G4848,K,3/189DA,0.64,K,2,2
3/G4848,K,3/B0032,0.39,K,3,3
3/H1137,K,1/13901,0.45,K,2,2
3/H1137,K,1/44471,0.58,K,3,3
3/H2118,K,3/V2114,0.97,K,2,2
3/H2118,K,3/B0152,0.05,K,3,3
3/H3504,K,1/25421,0.55,K,2,2
3/H3504,K,1/56021,0.48,K,3,3
3/H3544,K,1/25421,0.55,K,2,2
3/H3544,K,1/55021,0.48,K,3,3
3/J3905,K,3/430HA,0.46,K,2,2
3/J3905,K,3/558CA,0.58,K,3,3
3/J3935,K,3/430GA,1.1,K,2,2
3/J3955,K,3/430HA,1.03,K,2,2
3/J6484,K,3/432FA,0.73,K,2,2
3/J6484,K,1/37542,0.37,K,3,3
3/J6524,K,3/432GA,0.74,K,2,2
3/J6524,K,1/85151,0.3,K,3,3
3/J6544,K,3/432EA,0.69,K,2,2
3/J6544,K,1/37542,0.33,K,3,3
3/J6864,K,3/461BA,0.61,K,2,2
3/J6864,K,1/85151,0.43,K,3,3
3/M0953,K,1/662BB,1.03,K,2,2
3/M0973,K,1/662GG,1.03,K,2,2
3/M0993,K,1/662SS,1.03,K,2,2
3/M1013,K,1/662DD,1.03,K,2,2
3/N0803,K,1/25871,0.48,K,2,2
3/N0803,K,3/B3007,0.54,K,3,3
3/N0813,K,1/25871,0.48,K,2,2
3/N0813,K,3/B3017,0.54,K,3,3
3/N1206,K,1/81671,0.21,K,2,2
3/N1206,K,1/24100,0.82,K,3,3
3/N1216,K,1/81671,0.21,K,2,2
3/N1216,K,1/24100,0.82,K,3,3
3/N1307,K,1/10061,0.23,K,2,2
3/N1307,K,1/24001,0.81,K,3,3
3/N1317,K,1/10061,0.23,K,2,2
3/N1317,K,1/24001,0.81,K,3,3
3/N1823,K,1/25801,0.6,K,2,2
3/N1823,K,3/B3007,0.43,K,3,3
3/N1833,K,1/25801,0.6,K,2,2
3/N1833,K,3/B3017,0.43,K,3,3
3/N1863,K,1/24731,0.66,K,2,2
3/N1863,K,3/B1907,0.37,K,3,3
3/N1873,K,1/24731,0.66,K,2,2
