コード,名称,フリガナ,単位,入数,規格・型番,色,サイズ,数量小数桁,単価小数桁,在庫管理,課税区分,発注ロット,リードタイム,在庫適正数,在庫評価方法,主たる仕入先,仕入先名,主たる倉庫,倉庫名,発注連動,分類１,分類１名,分類２,分類２名,分類３,分類３名,分類４,分類４名,分類５,数単位,メモ欄,税抜上代,税抜売上単価１,税抜売上単価２,税抜売上単価３,税抜売上単価４,税抜売上原価,税抜仕入単価,税抜標準原価,税込上代,税込売上単価１,税込売上単価２,税込売上単価３,税込売上単価４,税込売上原価,税込仕入単価,税込標準原価,参照表示,更新日
5/291012ZX,生機291012ZX,ｷﾊﾞﾀ291012ZX,反,0.016666667,P61/C39,60M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,20,,B,,,,,M,,9912,8260,7080,6195,5506.7,4956,4956,4956,,,,,,,,,表示する,
5/291014YX,生機291014YX,ｷﾊﾞﾀ291014YX,反,0.016949153,P100,59M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,20,,B,,,,,M,,12046,10038,8604.3,7528.8,6692.2,6023,6023,6023,,,,,,,,,表示する,
5/291045YX,生機291045YX,ｷﾊﾞﾀ291045YX,反,0.017241379,P100,58M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,20,,B,,,,,M,,10452,8710,7465.7,6532.5,5806.7,5226,5226,5226,,,,,,,,,表示する,
5/291052YX,生機291052YX,ｷﾊﾞﾀ291052YX,反,0.017241379,P100,58M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,20,,B,,,,,M,,11388,9490,8134.3,7117.5,6326.7,5694,5694,5694,,,,,,,,,表示する,
5/292028YX,生機292028YX,ｷﾊﾞﾀ292028YX,反,0.02,P80/C20,50M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,20,,B,,,,,M,,6200,5167,4428.6,3875,3444.4,3100,3100,3100,,,,,,,,,表示する,
5/292030LX,生機292030LX,ｷﾊﾞﾀ292030LX,反,0.02,P81/C19,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,20,,B,,,,,M,,6300,5250,4500,3937.5,3500,3150,3150,3150,,,,,,,,,表示する,
5/292040YX,生機292040YX,ｷﾊﾞﾀ292040YX,反,0.02,P82/C18,50M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,20,,B,,,,,M,,5600,4667,4000,3500,3111.1,2800,2800,2800,,,,,,,,,表示する,
5/292046YX,生機292046YX,ｷﾊﾞﾀ292046YX,反,0.02,P87/C13,50M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,20,,B,,,,,M,,6700,5583,4785.7,4187.5,3722.2,3350,3350,3350,,,,,,,,,表示する,
5/292047LX,生機292047LX,ｷﾊﾞﾀ292047LX,反,0.02,P86/C14,50M,148,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,20,,B,,,,,M,,6500,5417,4642.9,4062.5,3611.1,3250,3250,3250,,,,,,,,,表示する,
5/292048YX,生機292048YX,ｷﾊﾞﾀ292048YX,反,0.02,P100,50M,150,1,1,在庫管理を行う,課税,0,0,0,月別総平均,SFN,,HARA,,非対象,5,生機,20,,B,,,,,M,,5600,4667,4000,3500,3111.1,2800,2800,2800,,,,,,,,,表示する,
