製品,製品単位,部品,必要量,部品単位
5/098847LA,反,1/13241,9.72,K
5/098847LA,反,1/85181,17.39,K
5/099306JA,反,1/11691,2.4,K
5/099306JA,反,1/12991,4.48,K
5/099306JA,反,1/25871,3.86,K
5/099307JA,反,1/11691,2.09,K
5/099307JA,反,1/12991,3.91,K
5/099307JA,反,1/25871,3.37,K
5/099307JA,反,1/50110,2.94,K
5/099394YA,反,1/10301,2.18,K
5/099394YA,反,1/12991,6.61,K
5/099394YA,反,1/23251,4.21,K
5/099394YA,反,1/25201,3.89,K
5/099394YX,反,1/10301,2.18,K
5/099394YX,反,1/12991,6.61,K
5/099394YX,反,1/23251,4.21,K
5/099394YX,反,1/25201,3.89,K
5/099401JX,反,1/11151,1.26,K
5/099401JX,反,1/13031,1.23,K
5/099401JX,反,1/25312,2.53,K
5/099401JX,反,1/25511,4.74,K
5/099401JX,反,1/52621,5.28,K
5/099442VX,反,1/10291,2.93,K
5/099442VX,反,1/25871,14.14,K
5/099453ZX,反,1/12451,4.22,K
5/099453ZX,反,1/87191,9.27,K
5/099453ZX,反,1/87201,7.89,K
5/099453ZX,反,1/600SA,3.6,K
5/099510ZX,反,1/52611,3.97,K
5/099510ZX,反,1/85141,7.22,K
5/099518YX,反,1/13241,8.41,K
5/099518YX,反,1/25312,15.04,K
5/099519LX,反,1/13241,8.21,K
5/099519LX,反,1/25312,14.69,K
5/099536YX,反,1/12531,14.41,K
5/099536YX,反,1/53461,5.05,K
5/099538LX,反,1/24061,12.07,K
5/099538LX,反,1/59521,7.35,K
5/099550YX,反,1/11701,7.4,K
5/099550YX,反,1/56001,7.81,K
5/099550YX,反,1/85131,6.08,K
5/099550YX,反,1/85141,2.67,K
5/099556YX,反,1/10291,4.34,K
5/099556YX,反,1/25732,16.19,K
5/099556ZX,反,1/11151,6.91,K
5/099556ZX,反,1/25312,13.62,K
5/099559YA,反,1/11151,1.45,K
5/099559YA,反,1/11701,1.26,K
5/099559YA,反,1/13241,2.22,K
5/099559YA,反,1/56001,4.67,K
5/099559YA,反,1/85141,3.23,K
5/099559YA,反,1/85181,8.92,K
5/099633YX,反,1/10291,2.84,K
5/099633YX,反,1/25312,11.55,K
5/099633YX,反,1/85131,5.15,K
5/099652LA,反,1/10291,2.45,K
5/099652LA,反,1/11491,4.86,K
5/099652LA,反,1/23251,7.87,K
5/099652LA,反,1/85131,4.69,K
5/099652LA,反,1/85141,6.26,K
5/099658YA,反,1/10181,3.49,K
5/099658YA,反,1/85141,8.61,K
5/099658YA,反,1/848UU,11.62,K
5/099660EX,反,1/25312,6.68,K
5/099660EX,反,1/845DD,2.68,K
5/099660EX,反,1/848UU,9.37,K
5/099683YX,反,1/13241,4.28,K
5/099683YX,反,1/85181,19.02,K
5/099706YA,反,1/13241,9.37,K
5/099706YA,反,1/25101,12.78,K
5/099707YA,反,1/13241,11.43,K
5/099707YA,反,1/25101,15.59,K
5/099762YX,反,1/12531,12.53,K
5/099762YX,反,1/53461,4.39,K
5/099788LX,反,1/16711,2.42,K
5/099788LX,反,1/16761,5.32,K
5/099788LX,反,1/001AA,2.65,K
5/099788LX,反,1/021AA,7.42,K
5/099797YX,反,1/13811,8.22,K
5/099797YX,反,1/24100,7.99,K
5/099818JX,反,1/13811,17.88,K
5/099819JX,反,1/13811,13.46,K
5/099819JX,反,1/53461,5.01,K
5/099838YX,反,1/13241,2.74,K
5/099838YX,反,1/38831,3.6,K
5/099838YX,反,1/85151,10.13,K
5/099838YX,反,1/87151,5.31,K
5/039413XE,反,NO039413XE,1,反
5/039428PX,反,NO039428PX,1,反
5/076410CB,反,NO076410CB,1,反
5/076410CC,反,NO076410CC,1,反
5/079664CB,反,NO079664CB,1,反
5/079664FX,反,NO079664FX,1,反
5/097064CX,反,NO097064CX,1,反
5/097064JD,反,NO097064JD,1,反
5/097227ZX,反,NO097227ZX,1,反
5/097400VX,反,NO097400VX,1,反
5/098105VX,反,NO098105VX,1,反
5/098262JC,反,NO098262JC,1,反
5/098286YA,反,NO098286YA,1,反
5/098459YB,反,NO098459YB,1,反
5/098477YX,反,NO098477YX,1,反
5/098557CX,反,NO098557CX,1,反
5/098761XX,反,NO098761XX,1,反
5/098762ZX,反,NO098762ZX,1,反
5/098847LA,反,NO098847LA,1,反
5/099306JA,反,NO099306JA,1,反
5/099307JA,反,NO099307JA,1,反
5/099394YA,反,NO099394YA,1,反
5/099394YX,反,NO099394YX,1,反
5/099401JX,反,NO099401JX,1,反
5/099442VX,反,NO099442VX,1,反
5/099453ZX,反,NO099453ZX,1,反
5/099510ZX,反,NO099510ZX,1,反
5/099518YX,反,NO099518YX,1,反
5/099519LX,反,NO099519LX,1,反
5/099536YX,反,NO099536YX,1,反
5/099538LX,反,NO099538LX,1,反
5/099550YX,反,NO099550YX,1,反
5/099556YX,反,NO099556YX,1,反
5/099556ZX,反,NO099556ZX,1,反
5/099559YA,反,NO099559YA,1,反
5/099633YX,反,NO099633YX,1,反
5/099652LA,反,NO099652LA,1,反
