製品,製品単位,部品,必要量,部品単位,行番,不要
4/290169GA,反,1/848II,1.86,K,4,4
4/290169GA,反,1/848JJ,1.92,K,5,5
4/290169GA,反,1/848KK,0.07,K,6,6
4/290169GX,反,J/290169GX,1,反,1,1
4/290169GX,反,1/848GG,8.84,K,2,2
4/290169GX,反,1/848HH,1.65,K,3,3
4/290169GX,反,1/848II,1.65,K,4,4
4/290169GX,反,1/848JJ,1.7,K,5,5
4/290169GX,反,1/848KK,0.06,K,6,6
4/290170GA,反,J/290170GA,1,反,1,1
4/290170GA,反,1/848GG,9.98,K,2,2
4/290170GA,反,1/848HH,1.86,K,3,3
4/290170GA,反,1/848II,1.86,K,4,4
4/290170GA,反,1/848JJ,1.92,K,5,5
4/290170GA,反,1/848KK,0.07,K,6,6
4/290170GX,反,J/290170GX,1,反,1,1
4/290170GX,反,1/848GG,8.84,K,2,2
4/290170GX,反,1/848HH,1.65,K,3,3
4/290170GX,反,1/848II,1.65,K,4,4
4/290170GX,反,1/848JJ,1.7,K,5,5
4/290170GX,反,1/848KK,0.06,K,6,6
4/290172ZX,反,J/290172ZX,1,反,1,1
4/290172ZX,反,3/B8127,2.57,K,2,2
4/290172ZX,反,3/B8137,2.57,K,3,3
4/290191YX,反,J/290191YX,1,反,1,1
4/290191YX,反,1/843HH,8.34,K,2,2
4/290192YX,反,J/290192YX,1,反,1,1
4/290192YX,反,1/843YY,14.13,K,2,2
4/290193YX,反,J/290193YX,1,反,1,1
4/290193YX,反,1/843KK,6.43,K,2,2
4/290194JX,反,J/290194JX,1,反,1,1
4/290194JX,反,3/A0385,5.02,K,2,2
4/290194JX,反,3/A0265,3.61,K,3,3
4/290195YX,反,J/290195YX,1,反,1,1
4/290195YX,反,1/842EE,6.67,K,2,2
4/290195YX,反,1/842FF,5.43,K,3,3
4/291012ZX,反,J/291012ZX,1,反,1,1
4/291012ZX,反,1/747AA,1.1,K,2,2
4/291014YX,反,J/291014YX,1,反,1,1
4/291014YX,反,1/629AA,2.85,K,2,2
4/291052YX,反,J/291052YX,1,反,1,1
4/291052YX,反,1/629AA,2.85,K,2,2
4/291053YX,反,J/291053YX,1,反,1,1
4/291053YX,反,1/747AA,0.92,K,2,2
4/291066YX,反,J/291066YX,1,反,1,1
4/291066YX,反,1/747AA,1.08,K,2,2
4/292017YX,反,J/292017YX,1,反,1,1
4/292017YX,反,1/636BB,11.84,K,2,2
