行,行番,備考,在庫変換データID,変換先フラグ,商品コード,単位,数単位,入数,ケース,商品名/摘要,ロット,個別コード,品質コード,構成数量,規格型番,色,サイズ,数量,単価,金額,生機,反番,枝番,データ,担当,整経,製織,反数,長さ,重量,初反,格付,前処理,出庫日,出庫反数,検査日,パレット,生機ＮＯ,単価,評価下,親ID,日別行
79,1,,38,1,5/096765ZX,6,7,,58.1,生機: 96765ZX,,5080 ,A,,P71/R29,50M,148,1,50,50, 96765ZX,5080, ,,B,214839A0,I018 ,1,58.1,18.7, ,A,1000,        ,   ,2015/6/6,1432,96765,,下済,38,1
80,1,,39,1,5/290045ZX,6,7,,51,生機:290045ZX,,5058 ,B,,AC71/P29,46M,140,1,46,46,290045ZX,5058, ,,B,114779A0,I043 ,1,51,13.4, ,B,1000,        ,   ,2015/6/8,1668,290045,,下済,39,1
81,1,,40,1,5/290045ZX,6,7,,51,生機:290045ZX,,5057 ,B,,AC71/P29,46M,140,1,46,46,290045ZX,5057, ,,B,114779A0,I043 ,1,51,13.4, ,B,1000,        ,   ,2015/6/9,1668,290045,,下済,40,1
82,1,,41,1,5/098761VX,6,7,,62.7,生機: 98761VX,,5166 ,B,,P54/CU46,50M,145,1,50,50, 98761VX,5166, ,,B,214885A0,I006 ,1,62.7,13, ,B,1000,        ,   ,2015/6/17,1509,98761,,下済,41,1
83,1,,42,1,5/290045ZX,6,7,,51.2,生機:290045ZX,,5081 ,B,,AC71/P29,46M,140,1,46,46,290045ZX,5081, ,,B,114779A0,I043 ,1,51.2,13.5, ,B,1000,        ,   ,2015/6/19,1668,290045,,下済,42,1
84,2,,42,1,5/290045ZX,6,7,,51,生機:290045ZX,,5082 ,B,,AC71/P29,46M,140,1,46,46,290045ZX,5082, ,,B,114779A0,I043 ,1,51,13.4, ,B,1000,        ,   ,2015/6/19,1668,290045,,下済,42,2
85,1,,43,1,5/290045ZX,6,7,,50.8,生機:290045ZX,,5103 ,B,,AC71/P29,46M,140,1,46,46,290045ZX,5103, ,,B,114779A0,I043 ,1,50.8,13.4, ,B,1000,        ,   ,2015/6/29,1668,290045,,下済,43,1
86,1,,44,1,5/290045ZX,6,7,,51.6,生機:290045ZX,,5188 ,B,,AC71/P29,46M,140,1,46,46,290045ZX,5188, ,,B,114780A0,I043 ,1,51.6,13.8, ,B,1000,        ,   ,2015/7/7,1668,290045,,下済,44,1
87,1,,45,1,5/099141YA,6,7,,65.2,生機: 99141YA,,5001 ,B,,TA64/P36,50M,140,1,50,50, 99141YA,5001, ,,B,114997A0,I010 ,1,65.2,16.2, ,B,1000,        ,   ,2015/8/4,1855,99141,,下済,45,1
88,1,,46,1,5/099141YA,6,7,,65.2,生機: 99141YA,,5002 ,B,,TA64/P36,50M,140,1,50,50, 99141YA,5002, ,,B,114997A0,I010 ,1,65.2,16.2, ,B,1000,        ,   ,2015/8/6,1855,99141,,下済,46,1
89,1,,47,1,5/099141YA,6,7,,66.1,生機: 99141YA,,5003 ,B,,TA64/P36,50M,140,1,50,50, 99141YA,5003, ,,B,114997A0,I010 ,1,66.1,16.4, ,B,1000,        ,   ,2015/8/8,1855,99141,,下済,47,1
90,2,,47,1,5/099141YA,6,7,,65.4,生機: 99141YA,,5004 ,B,,TA64/P36,50M,140,1,50,50, 99141YA,5004, ,,B,114997A0,I010 ,1,65.4,16.2, ,B,1000,        ,   ,2015/8/8,1855,99141,,下済,47,2
91,1,,48,1,5/290128YX,6,7,,18.5,生機:290128YX,,5001 ,A,,P100,100M,154,0.5,100,50,290128YX,5001, ,,B,115126A0,I020 ,0.5,18.5,2.4, ,A,1000,        ,   ,2015/8/26,    ,290128,,下済,48,1
92,1,,49,1,5/076410CX,6,7,,38.6,生機: 76410CX,,5626 ,A,,TA64/P13/R12/RA11,50,148,0.5,32441,16220, 76410CX,5626, ,,B,214890A0,I055 ,0.5,38.6,11.1, ,A,1000,        ,   ,2015/9/8,1572,76410,,下済,49,1
93,1,,50,1,5/290115YX,6,7,,57.9,生機:290115YX,,5002 ,B,,P99/R1,50M,140,1,50,50,290115YX,5002, ,,B,115074A0,I023 ,1,57.9,20, ,B,1000,        ,   ,2015/9/11,1921,290115,,下済,50,1
94,1,,51,1,5/291006YX,6,7,,67.7,生機:291006YX,,5005 ,A,,P100,60M,150,1,0,0,291006YX,5005, ,1,B,115037A4,I090 ,1,67.7,10.5, ,A,1000,        ,   ,2015/9/15,1912,291006,,下済,51,1
95,2,,51,1,5/291006YX,6,7,,67.5,生機:291006YX,,5006 ,A,,P100,60M,150,1,0,0,291006YX,5006, ,1,B,115037A4,I090 ,1,67.5,10.5, ,A,1000,        ,   ,2015/9/15,1912,291006,,下済,51,2
96,1,,52,1,5/099220JX,6,7,,41.5,生機: 99220JX,,5081 ,B,,P100,50M,140,1,25112,25112, 99220JX,5081, ,,B,114950A0,I033 ,1,41.5,7.8, ,B,1000,        ,   ,2015/9/16,1887,99220,,下済,52,1
97,2,,52,1,5/291006YX,6,7,,67.7,生機:291006YX,,5007 ,A,,P100,60M,150,1,0,0,291006YX,5007, ,1,B,115037A4,I090 ,1,67.7,10.5, ,A,1000,        ,   ,2015/9/16,1912,291006,,下済,52,2
98,3,,52,1,5/291006YX,6,7,,67.4,生機:291006YX,,5008 ,A,,P100,60M,150,1,0,0,291006YX,5008, ,1,B,115037A4,I090 ,1,67.4,10.4, ,A,1000,        ,   ,2015/9/16,1912,291006,,下済,52,3
99,1,,53,1,5/290114YX,6,7,,67.7,生機:290114YX,,5002 ,A,,P100,50M,140,1,50,50,290114YX,5002, ,,B,115073A0,I023 ,1,67.7,23.5, ,A,1000,        ,   ,2015/9/17,1314,290114,,下済,53,1
100,1,,54,1,5/076410CB,6,7,,49.1,生機: 76410CB,,5062 ,B,,TA63/P15/RA11/R11,50M,148,1,32872,32872, 76410CB,5062, ,,B,214891A0,I057 ,1,49.1,14.1, ,B,1000,        ,   ,2015/9/18,1491,76410,,下済,54,1
101,2,,54,1,5/098477VX,6,7,,63.1,生機: 98477VX,,5002 ,A,,P54/CU46,50M,145,1,50,50, 98477VX,5002, ,1,B,214937A0,I005 ,1,63.1,12.9, ,A,1000,        ,   ,2015/9/18,1384,98477,,下済,54,2
102,3,,54,1,5/098477VX,6,7,,63.4,生機: 98477VX,,5028 ,A,,P54/CU46,50M,145,1,50,50, 98477VX,5028, ,,B,214937B0,I006 ,1,63.4,12.9, ,A,1000,        ,   ,2015/9/18,1384,98477,,下済,54,3
