元コード,商品コード,名称,単位,数単位,数量小数桁,単価小数桁,課税区分,在庫管理,在庫評価方法,主たる倉庫,担当,売上単価１,売上原価,仕入単価,標準原価,商品分類1,商品分類2,商品分類3
290187YX,8/290187,290187 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,9333,8,,
290188YX,8/290188,290188 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,840,8,,
290189YX,8/290189,290189 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,4889,8,,
291036YX,8/291036,291036 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,300,8,,
291042YX,8/291042,291042 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
291046YX,8/291046,291046 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
291047YX,8/291047,291047 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
291050YX,8/291050,291050 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
291051YX,8/291051,291051 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
291052YX,8/291052,291052 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,300,8,,
291053YX,8/291053,291053 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
292017YX,8/292017,292017 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
292023YX,8/292023,292023 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
292028YX,8/292028,292028 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
292029LX,8/292029,292029 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
292030LX,8/292030,292030 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
292031YX,8/292031,292031 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
292032LX,8/292032,292032 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
292033YX,8/292033,292033 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
292034YX,8/292034,292034 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
292035YX,8/292035,292035 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
292036YX,8/292036,292036 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
292037YX,8/292037,292037 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
292038LX,8/292038,292038 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
292039YX,8/292039,292039 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
292040YX,8/292040,292040 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
292041YX,8/292041,292041 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
292042LX,8/292042,292042 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
292043YX,8/292043,292043 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
292044YX,8/292044,292044 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
292045YX,8/292045,292045 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,0,8,,
295000YA,8/295000,295000 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,7290,8,,
295025YX,8/295025,295025 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,10062,8,,
295026YX,8/295026,295026 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,8936,8,,
295027YX,8/295027,295027 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,9748,8,,
390022JX,8/390022,390022 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,70075,8,,
390023JX,8/390023,390023 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,70048,8,,
390024JX,8/390024,390024 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,70102,8,,
390025JX,8/390025,390025 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,70075,8,,
390026JX,8/390026,390026 染上品,ｍ,反,1,1,1,1,3,HARA,,,,,70125,8,,
039413XE,D/039413,染色賃:039413,ｍ,反,1,1,1,1,3,HARA,,,,,8500,D,,
039428PX,D/039428,染色賃:039428,ｍ,反,1,1,1,1,3,HARA,,,,,12000,D,,
076410CB,D/076410,染色賃:076410,ｍ,反,1,1,1,1,3,HARA,,,,,9000,D,,
076410CC,D/076410,染色賃:076410,ｍ,反,1,1,1,1,3,HARA,,,,,9000,D,,
079664CB,D/079664,染色賃:079664,ｍ,反,1,1,1,1,3,HARA,,,,,11000,D,,
079664FX,D/079664,染色賃:079664,ｍ,反,1,1,1,1,3,HARA,,,,,11000,D,,
097064CX,D/097064,染色賃:097064,ｍ,反,1,1,1,1,3,HARA,,,,,9000,D,,
097064JD,D/097064,染色賃:097064,ｍ,反,1,1,1,1,3,HARA,,,,,9000,D,,
097227ZX,D/097227,染色賃:097227,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
097400VX,D/097400,染色賃:097400,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
098105VX,D/098105,染色賃:098105,ｍ,反,1,1,1,1,3,HARA,,,,,16000,D,,
098262JC,D/098262,染色賃:098262,ｍ,反,1,1,1,1,3,HARA,,,,,15000,D,,
098286YA,D/098286,染色賃:098286,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
098459YB,D/098459,染色賃:098459,ｍ,反,1,1,1,1,3,HARA,,,,,16000,D,,
098477YX,D/098477,染色賃:098477,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
098557CX,D/098557,染色賃:098557,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
098761XX,D/098761,染色賃:098761,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
098762ZX,D/098762,染色賃:098762,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
098847LA,D/098847,染色賃:098847,ｍ,反,1,1,1,1,3,HARA,,,,,13000,D,,
099306JA,D/099306,染色賃:099306,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
099307JA,D/099307,染色賃:099307,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
099394YA,D/099394,染色賃:099394,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
099394YX,D/099394,染色賃:099394,ｍ,反,1,1,1,1,3,HARA,,,,,13500,D,,
099401JX,D/099401,染色賃:099401,ｍ,反,1,1,1,1,3,HARA,,,,,15500,D,,
099442VX,D/099442,染色賃:099442,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
099453ZX,D/099453,染色賃:099453,ｍ,反,1,1,1,1,3,HARA,,,,,22500,D,,
099510ZX,D/099510,染色賃:099510,ｍ,反,1,1,1,1,3,HARA,,,,,25000,D,,
099518YX,D/099518,染色賃:099518,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
099519LX,D/099519,染色賃:099519,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
099536YX,D/099536,染色賃:099536,ｍ,反,1,1,1,1,3,HARA,,,,,25000,D,,
099538LX,D/099538,染色賃:099538,ｍ,反,1,1,1,1,3,HARA,,,,,25000,D,,
099550YX,D/099550,染色賃:099550,ｍ,反,1,1,1,1,3,HARA,,,,,15000,D,,
099556YX,D/099556,染色賃:099556,ｍ,反,1,1,1,1,3,HARA,,,,,11000,D,,
099556ZX,D/099556,染色賃:099556,ｍ,反,1,1,1,1,3,HARA,,,,,11000,D,,
099559YA,D/099559,染色賃:099559,ｍ,反,1,1,1,1,3,HARA,,,,,15000,D,,
099633YX,D/099633,染色賃:099633,ｍ,反,1,1,1,1,3,HARA,,,,,13000,D,,
099652LA,D/099652,染色賃:099652,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
099658YA,D/099658,染色賃:099658,ｍ,反,1,1,1,1,3,HARA,,,,,25000,D,,
099660EX,D/099660,染色賃:099660,ｍ,反,1,1,1,1,3,HARA,,,,,10500,D,,
099683YX,D/099683,染色賃:099683,ｍ,反,1,1,1,1,3,HARA,,,,,13000,D,,
099706YA,D/099706,染色賃:099706,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
099707YA,D/099707,染色賃:099707,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
099762YX,D/099762,染色賃:099762,ｍ,反,1,1,1,1,3,HARA,,,,,25000,D,,
099788LX,D/099788,染色賃:099788,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
099797YX,D/099797,染色賃:099797,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
099818JX,D/099818,染色賃:099818,ｍ,反,1,1,1,1,3,HARA,,,,,10000,D,,
099819JX,D/099819,染色賃:099819,ｍ,反,1,1,1,1,3,HARA,,,,,12500,D,,
099838YX,D/099838,染色賃:099838,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
102633ZX,D/102633,染色賃:102633,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
113692YX,D/113692,染色賃:113692,ｍ,反,1,1,1,1,3,HARA,,,,,8500,D,,
115769PI,D/115769,染色賃:115769,ｍ,反,1,1,1,1,3,HARA,,,,,9750,D,,
115981JA,D/115981,染色賃:115981,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
115983JA,D/115983,染色賃:115983,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
116089XE,D/116089,染色賃:116089,ｍ,反,1,1,1,1,3,HARA,,,,,6750,D,,
116365JA,D/116365,染色賃:116365,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
116371YX,D/116371,染色賃:116371,ｍ,反,1,1,1,1,3,HARA,,,,,8500,D,,
123127ZE,D/123127,染色賃:123127,ｍ,反,1,1,1,1,3,HARA,,,,,12000,D,,
123127ZF,D/123127,染色賃:123127,ｍ,反,1,1,1,1,3,HARA,,,,,11000,D,,
124614VX,D/124614,染色賃:124614,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
126687VX,D/126687,染色賃:126687,ｍ,反,1,1,1,1,3,HARA,,,,,11000,D,,
126687ZB,D/126687,染色賃:126687,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
127250JB,D/127250,染色賃:127250,ｍ,反,1,1,1,1,3,HARA,,,,,10000,D,,
127250JC,D/127250,染色賃:127250,ｍ,反,1,1,1,1,3,HARA,,,,,10000,D,,
127250JD,D/127250,染色賃:127250,ｍ,反,1,1,1,1,3,HARA,,,,,10000,D,,
130132VX,D/130132,染色賃:130132,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
135239DA,D/135239,染色賃:135239,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
135392YB,D/135392,染色賃:135392,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
135426LD,D/135426,染色賃:135426,ｍ,反,1,1,1,1,3,HARA,,,,,9000,D,,
135499LX,D/135499,染色賃:135499,ｍ,反,1,1,1,1,3,HARA,,,,,9500,D,,
135520LX,D/135520,染色賃:135520,ｍ,反,1,1,1,1,3,HARA,,,,,8500,D,,
135521LC,D/135521,染色賃:135521,ｍ,反,1,1,1,1,3,HARA,,,,,8500,D,,
135527ZC,D/135527,染色賃:135527,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
135616LG,D/135616,染色賃:135616,ｍ,反,1,1,1,1,3,HARA,,,,,8500,D,,
135630LX,D/135630,染色賃:135630,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
135700LX,D/135700,染色賃:135700,ｍ,反,1,1,1,1,3,HARA,,,,,10750,D,,
135703LX,D/135703,染色賃:135703,ｍ,反,1,1,1,1,3,HARA,,,,,8750,D,,
135707LX,D/135707,染色賃:135707,ｍ,反,1,1,1,1,3,HARA,,,,,9000,D,,
157796ZE,D/157796,染色賃:157796,ｍ,反,1,1,1,1,3,HARA,,,,,8500,D,,
158388HX,D/158388,染色賃:158388,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
159557LX,D/159557,染色賃:159557,ｍ,反,1,1,1,1,3,HARA,,,,,9000,D,,
159558LX,D/159558,染色賃:159558,ｍ,反,1,1,1,1,3,HARA,,,,,8250,D,,
159559LX,D/159559,染色賃:159559,ｍ,反,1,1,1,1,3,HARA,,,,,25000,D,,
159560VX,D/159560,染色賃:159560,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
159560YX,D/159560,染色賃:159560,ｍ,反,1,1,1,1,3,HARA,,,,,8150,D,,
159560ZX,D/159560,染色賃:159560,ｍ,反,1,1,1,1,3,HARA,,,,,8150,D,,
159575LX,D/159575,染色賃:159575,ｍ,反,1,1,1,1,3,HARA,,,,,8500,D,,
159577VX,D/159577,染色賃:159577,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
159577YX,D/159577,染色賃:159577,ｍ,反,1,1,1,1,3,HARA,,,,,8150,D,,
159577ZX,D/159577,染色賃:159577,ｍ,反,1,1,1,1,3,HARA,,,,,8150,D,,
159580ZX,D/159580,染色賃:159580,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
165316YX,D/165316,染色賃:165316,ｍ,反,1,1,1,1,3,HARA,,,,,11500,D,,
170010ZX,D/170010,染色賃:170010,ｍ,反,1,1,1,1,3,HARA,,,,,12500,D,,
171132YA,D/171132,染色賃:171132,ｍ,反,1,1,1,1,3,HARA,,,,,15000,D,,
171132ZA,D/171132,染色賃:171132,ｍ,反,1,1,1,1,3,HARA,,,,,15000,D,,
171132ZX,D/171132,染色賃:171132,ｍ,反,1,1,1,1,3,HARA,,,,,16500,D,,
171143YX,D/171143,染色賃:171143,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
171144YX,D/171144,染色賃:171144,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
171163YA,D/171163,染色賃:171163,ｍ,反,1,1,1,1,3,HARA,,,,,25000,D,,
171163YX,D/171163,染色賃:171163,ｍ,反,1,1,1,1,3,HARA,,,,,25000,D,,
185112ZA,D/185112,染色賃:185112,ｍ,反,1,1,1,1,3,HARA,,,,,9000,D,,
290012YA,D/290012,染色賃:290012,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
290012YX,D/290012,染色賃:290012,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
290013YA,D/290013,染色賃:290013,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
290034ZX,D/290034,染色賃:290034,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
290041YX,D/290041,染色賃:290041,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
290045VX,D/290045,染色賃:290045,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
290054YB,D/290054,染色賃:290054,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
290072ZA,D/290072,染色賃:290072,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
290072ZX,D/290072,染色賃:290072,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
290106YX,D/290106,染色賃:290106,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
290107YX,D/290107,染色賃:290107,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
290168VX,D/290168,染色賃:290168,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
290168ZX,D/290168,染色賃:290168,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
290169GA,D/290169,染色賃:290169,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
290169GX,D/290169,染色賃:290169,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
290170GA,D/290170,染色賃:290170,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
290170GX,D/290170,染色賃:290170,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
290173YX,D/290173,染色賃:290173,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
290174YX,D/290174,染色賃:290174,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
290175YX,D/290175,染色賃:290175,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
290176YX,D/290176,染色賃:290176,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
290177YX,D/290177,染色賃:290177,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
290178YX,D/290178,染色賃:290178,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
290179YX,D/290179,染色賃:290179,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
290180YX,D/290180,染色賃:290180,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
290181YX,D/290181,染色賃:290181,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
290182YX,D/290182,染色賃:290182,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
290183YX,D/290183,染色賃:290183,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
290184YX,D/290184,染色賃:290184,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
290184ZX,D/290184,染色賃:290184,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
290185YX,D/290185,染色賃:290185,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
290186YX,D/290186,染色賃:290186,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
290187YX,D/290187,染色賃:290187,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
290188YX,D/290188,染色賃:290188,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
290189YX,D/290189,染色賃:290189,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
291036YX,D/291036,染色賃:291036,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
291042YX,D/291042,染色賃:291042,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
291046YX,D/291046,染色賃:291046,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
291047YX,D/291047,染色賃:291047,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
291050YX,D/291050,染色賃:291050,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
291051YX,D/291051,染色賃:291051,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
291052YX,D/291052,染色賃:291052,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
291053YX,D/291053,染色賃:291053,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
292017YX,D/292017,染色賃:292017,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
292023YX,D/292023,染色賃:292023,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
292028YX,D/292028,染色賃:292028,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
292029LX,D/292029,染色賃:292029,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
292030LX,D/292030,染色賃:292030,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
292031YX,D/292031,染色賃:292031,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
292032LX,D/292032,染色賃:292032,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
292033YX,D/292033,染色賃:292033,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
292034YX,D/292034,染色賃:292034,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
292035YX,D/292035,染色賃:292035,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
292036YX,D/292036,染色賃:292036,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
292037YX,D/292037,染色賃:292037,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
292038LX,D/292038,染色賃:292038,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
292039YX,D/292039,染色賃:292039,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
292040YX,D/292040,染色賃:292040,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
292041YX,D/292041,染色賃:292041,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
292042LX,D/292042,染色賃:292042,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
292043YX,D/292043,染色賃:292043,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
292044YX,D/292044,染色賃:292044,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
292045YX,D/292045,染色賃:292045,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
295000YA,D/295000,染色賃:295000,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
295025YX,D/295025,染色賃:295025,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
295026YX,D/295026,染色賃:295026,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
295027YX,D/295027,染色賃:295027,ｍ,反,1,1,1,1,3,HARA,,,,,0,D,,
390022JX,D/390022,染色賃:390022,ｍ,反,1,1,1,1,3,HARA,,,,,5000,D,,
390023JX,D/390023,染色賃:390023,ｍ,反,1,1,1,1,3,HARA,,,,,5000,D,,
390024JX,D/390024,染色賃:390024,ｍ,反,1,1,1,1,3,HARA,,,,,5000,D,,
390025JX,D/390025,染色賃:390025,ｍ,反,1,1,1,1,3,HARA,,,,,5000,D,,
390026JX,D/390026,染色賃:390026,ｍ,反,1,1,1,1,3,HARA,,,,,5000,D,,
039413XE,J/039413XE,整経賃:039413XE,反,ｍ,1,0,1,1,3,HARA,,,,1225,,J,,
039428PX,J/039428PX,整経賃:039428PX,反,ｍ,1,0,1,1,3,HARA,,,,1225,,J,,
076410CB,J/076410CB,整経賃:076410CB,反,ｍ,1,0,1,1,3,HARA,,,,0,,J,,
076410CC,J/076410CC,整経賃:076410CC,反,ｍ,1,0,1,1,3,HARA,,,,0,,J,,
079664CB,J/079664CB,整経賃:079664CB,反,ｍ,1,0,1,1,3,HARA,,,,1200,,J,,
079664FX,J/079664FX,整経賃:079664FX,反,ｍ,1,0,1,1,3,HARA,,,,1200,,J,,
097064CX,J/097064CX,整経賃:097064CX,反,ｍ,1,0,1,1,3,HARA,,,,2450,,J,,
097064JD,J/097064JD,整経賃:097064JD,反,ｍ,1,0,1,1,3,HARA,,,,2450,,J,,
097227ZX,J/097227ZX,整経賃:097227ZX,反,ｍ,1,0,1,1,3,HARA,,,,0,,J,,
097400VX,J/097400VX,整経賃:097400VX,反,ｍ,1,0,1,1,3,HARA,,,,0,,J,,
098105VX,J/098105VX,整経賃:098105VX,反,ｍ,1,0,1,1,3,HARA,,,,0,,J,,
098262JC,J/098262JC,整経賃:098262JC,反,ｍ,1,0,1,1,3,HARA,,,,1225,,J,,
098286YA,J/098286YA,整経賃:098286YA,反,ｍ,1,0,1,1,3,HARA,,,,0,,J,,
098459YB,J/098459YB,整経賃:098459YB,反,ｍ,1,0,1,1,3,HARA,,,,2540,,J,,
098477YX,J/098477YX,整経賃:098477YX,反,ｍ,1,0,1,1,3,HARA,,,,1500,,J,,
098557CX,J/098557CX,整経賃:098557CX,反,ｍ,1,0,1,1,3,HARA,,,,0,,J,,
098761XX,J/098761XX,整経賃:098761XX,反,ｍ,1,0,1,1,3,HARA,,,,1500,,J,,
098762ZX,J/098762ZX,整経賃:098762ZX,反,ｍ,1,0,1,1,3,HARA,,,,0,,J,,
098847LA,J/098847LA,整経賃:098847LA,反,ｍ,1,0,1,1,3,HARA,,,,1225,,J,,
099306JA,J/099306JA,整経賃:099306JA,反,ｍ,1,0,1,1,3,HARA,,,,0,,J,,
099307JA,J/099307JA,整経賃:099307JA,反,ｍ,1,0,1,1,3,HARA,,,,0,,J,,
099394YA,J/099394YA,整経賃:099394YA,反,ｍ,1,0,1,1,3,HARA,,,,0,,J,,
099394YX,J/099394YX,整経賃:099394YX,反,ｍ,1,0,1,1,3,HARA,,,,2365,,J,,
099401JX,J/099401JX,整経賃:099401JX,反,ｍ,1,0,1,1,3,HARA,,,,2455,,J,,
099442VX,J/099442VX,整経賃:099442VX,反,ｍ,1,0,1,1,3,HARA,,,,0,,J,,
099453ZX,J/099453ZX,整経賃:099453ZX,反,ｍ,1,0,1,1,3,HARA,,,,1751,,J,,
099510ZX,J/099510ZX,整経賃:099510ZX,反,ｍ,1,0,1,1,3,HARA,,,,2540,,J,,
099518YX,J/099518YX,整経賃:099518YX,反,ｍ,1,0,1,1,3,HARA,,,,0,,J,,
099519LX,J/099519LX,整経賃:099519LX,反,ｍ,1,0,1,1,3,HARA,,,,0,,J,,
099536YX,J/099536YX,整経賃:099536YX,反,ｍ,1,0,1,1,3,HARA,,,,6667,,J,,
099538LX,J/099538LX,整経賃:099538LX,反,ｍ,1,0,1,1,3,HARA,,,,4000,,J,,
099550YX,J/099550YX,整経賃:099550YX,反,ｍ,1,0,1,1,3,HARA,,,,2365,,J,,
099556YX,J/099556YX,整経賃:099556YX,反,ｍ,1,0,1,1,3,HARA,,,,1500,,J,,
099556ZX,J/099556ZX,整経賃:099556ZX,反,ｍ,1,0,1,1,3,HARA,,,,1500,,J,,
099559YA,J/099559YA,整経賃:099559YA,反,ｍ,1,0,1,1,3,HARA,,,,1750,,J,,
099633YX,J/099633YX,整経賃:099633YX,反,ｍ,1,0,1,1,3,HARA,,,,2540,,J,,
099652LA,J/099652LA,整経賃:099652LA,反,ｍ,1,0,1,1,3,HARA,,,,0,,J,,
099658YA,J/099658YA,整経賃:099658YA,反,ｍ,1,0,1,1,3,HARA,,,,2540,,J,,
099660EX,J/099660EX,整経賃:099660EX,反,ｍ,1,0,1,1,3,HARA,,,,2538,,J,,
099683YX,J/099683YX,整経賃:099683YX,反,ｍ,1,0,1,1,3,HARA,,,,2540,,J,,
099706YA,J/099706YA,整経賃:099706YA,反,ｍ,1,0,1,1,3,HARA,,,,0,,J,,
099707YA,J/099707YA,整経賃:099707YA,反,ｍ,1,0,1,1,3,HARA,,,,0,,J,,
099762YX,J/099762YX,整経賃:099762YX,反,ｍ,1,0,1,1,3,HARA,,,,2800,,J,,
099788LX,J/099788LX,整経賃:099788LX,反,ｍ,1,0,1,1,3,HARA,,,,0,,J,,
099797YX,J/099797YX,整経賃:099797YX,反,ｍ,1,0,1,1,3,HARA,,,,1000,,J,,
099818JX,J/099818JX,整経賃:099818JX,反,ｍ,1,0,1,1,3,HARA,,,,10000,,J,,
099819JX,J/099819JX,整経賃:099819JX,反,ｍ,1,0,1,1,3,HARA,,,,10000,,J,,
099838YX,J/099838YX,整経賃:099838YX,反,ｍ,1,0,1,1,3,HARA,,,,0,,J,,
102633ZX,J/102633ZX,整経賃:102633ZX,反,ｍ,1,0,1,1,3,HARA,,,,1750,,J,,
113692YX,J/113692YX,整経賃:113692YX,反,ｍ,1,0,1,1,3,HARA,,,,1000,,J,,
115769PI,J/115769PI,整経賃:115769PI,反,ｍ,1,0,1,1,3,HARA,,,,1750,,J,,
115981JA,J/115981JA,整経賃:115981JA,反,ｍ,1,0,1,1,3,HARA,,,,1225,,J,,
115983JA,J/115983JA,整経賃:115983JA,反,ｍ,1,0,1,1,3,HARA,,,,1225,,J,,
116089XE,J/116089XE,整経賃:116089XE,反,ｍ,1,0,1,1,3,HARA,,,,1260,,J,,
116365JA,J/116365JA,整経賃:116365JA,反,ｍ,1,0,1,1,3,HARA,,,,1225,,J,,
116371YX,J/116371YX,整経賃:116371YX,反,ｍ,1,0,1,1,3,HARA,,,,1225,,J,,
123127ZE,J/123127ZE,整経賃:123127ZE,反,ｍ,1,0,1,1,3,HARA,,,,1000,,J,,
123127ZF,J/123127ZF,整経賃:123127ZF,反,ｍ,1,0,1,1,3,HARA,,,,1000,,J,,
124614VX,J/124614VX,整経賃:124614VX,反,ｍ,1,0,1,1,3,HARA,,,,0,,J,,
126687VX,J/126687VX,整経賃:126687VX,反,ｍ,1,0,1,1,3,HARA,,,,2100,,J,,
126687ZB,J/126687ZB,整経賃:126687ZB,反,ｍ,1,0,1,1,3,HARA,,,,0,,J,,
127250JB,J/127250JB,整経賃:127250JB,反,ｍ,1,0,1,1,3,HARA,,,,1750,,J,,
127250JC,J/127250JC,整経賃:127250JC,反,ｍ,1,0,1,1,3,HARA,,,,0,,J,,
