元コード,商品コード,名称,単位,数単位,数量小数桁,単価小数桁,課税区分,在庫管理,在庫評価方法,主たる倉庫,担当,売上単価１,売上原価,仕入単価,標準原価,商品分類1,商品分類2,商品分類3
A2721,3/A2721,A2721:T.POYW265TSD/48S(3243) :ﾀｲﾅﾝﾎﾞｳ Z150WMｾｯﾄ85ﾟC30 : :                       ,K,本,2,1,1,1,3,HARA,,,,,480.88,3,,
A2791,3/A2791,A2791:ﾄｰﾚN66.W<78T>SD70/24Z :/2<Z150>G : :                                      ,K,本,2,1,1,1,3,HARA,,,,,0,3,,
A2814,3/A2814,A2814:ﾄｰﾚN66.W<78T>SD70/24Z : /3<Z400>G : :                                     ,K,本,2,1,1,1,3,HARA,,,,,1278.41,3,,
A2831,3/A2831,A2831:ﾄｰﾚN66.W<78T>SD70/24Z :(1205) /4<Z150>G : :                               ,K,本,2,1,1,1,3,HARA,,,,,1198.41,3,,
A3181,3/A3181,A3181:TW<167T>150/48 :(ｸﾛｹﾞﾝﾁｬｸ)/2<Z150>WS : :                                  ,K,本,2,1,1,1,3,HARA,,,,,466.8,3,,
A3271,3/A3271,A3271:PPT.W<165T>SD147/68Z :(1T107)<Z150>WM : :                                 ,K,本,2,1,1,1,3,HARA,,,,,1229.36,3,,
A3774,3/A3774,A3774:ﾅﾝﾔTW<56T>FD50/72 :/3<S400>WS : :                                         ,K,本,2,1,1,1,3,HARA,,,,,200,3,,
A3866,3/A3866,A3866:ﾅﾝﾔDTY.TW<84T>SD75/36 :ｻﾗｸｰﾙPOYW<280T>FD250/48S :<S800>WS :               ,K,本,2,1,1,1,3,HARA,,,,,718.66,3,,
A4264,3/A4264,A4264:ﾅﾝﾔTW<56T>FD50/72 :/2<S400>WM : :                                         ,K,本,2,1,1,1,3,HARA,,,,,0,3,,
A4351,3/A4351,A4351:ﾃｨﾌｨｺTW<167T>150/48(20):Z(ｿｳｼ)/2<Z150>G : :                               ,K,本,2,1,1,1,3,HARA,,,,,440.89,3,,
A4487,3/A4487,A4487:T(C282)W<167T>SD150/48 :<Z1600>WMｾﾂﾄ100ﾟC30' : :                          ,K,本,2,1,1,1,3,HARA,,,,,250,3,,
A4497,3/A4497,A4497:T(C282)W<167T>SD150/48 :<S1600>WMｾｯﾄ100ﾟC30' : :                          ,K,本,2,1,1,1,3,HARA,,,,,250,3,,
A4507,3/A4507,A4507:T(C282)W<167T>SD150/48 :<Z1600>WSｾｯﾄ100ﾟC30 : :                           ,K,本,2,1,1,1,3,HARA,,,,,250,3,,
A4517,3/A4517,A4517:T(C282)W<167T>SD150/48 :<S1600>WSｾｯﾄ100ﾟC30 : :                           ,K,本,2,1,1,1,3,HARA,,,,,250,3,,
A5504,3/A5504,A5504:ｻﾗｸｰﾙPOYW280TFD250/48S :(X20)(178D) Z400 WM :ｾｯﾄ85ﾟC30 :                  ,K,本,2,1,1,1,3,HARA,,,,,738.93,3,,
A5996,3/A5996,A5996:ｻﾗｸｰﾙPOYW280TFD250/48S :(X20)(178D) S800 WM : :                           ,K,本,2,1,1,1,3,HARA,,,,,808.93,3,,
A8861,3/A8861,A8861:ﾅﾝﾔｳｪｰﾌﾞW<84T>75/30 :/3<Z150>G : :                                        ,K,本,2,1,1,1,3,HARA,,,,,741.6,3,,
A9114,3/A9114,A9114:ﾅﾝﾔｳｪｰﾌﾞW<84T>75/30 :/4<Z400>WS : :                                       ,K,本,2,1,1,1,3,HARA,,,,,881.6,3,,
A9424,3/A9424,A9424:T.POYWSD115/36S(M8391) :/2<Z400>WS : :                                    ,K,本,2,1,1,1,3,HARA,,,,,614.22,3,,
A9714,3/A9714,A9714:ﾅﾝﾔT.POYW128TSD115/36Z :S400 WM (85ﾟCX30) : :                             ,K,本,2,1,1,1,3,HARA,,,,,0,3,,
A9804,3/A9804,A9804:ﾅﾝﾔT.POYW128TSD115/36Z :(M8391)S400 WM (85ﾟCX30) : :                      ,K,本,2,1,1,1,3,HARA,,,,,0,3,,
B0032,3/B0032,B0032:ｵｰﾛﾗ(120ｷﾘ)88D S200 WS : : :                                              ,K,本,2,1,1,1,3,HARA,,,,,4060,3,,
B0152,3/B0152,B0152:Tｷﾞﾝﾗﾒ<70T>120ｷﾘ(B2)62D:S200 WS : :                                       ,K,本,2,1,1,1,3,HARA,,,,,7426,3,,
B1375,3/B1375,B1375:AC<84T>BR75/19(ｲｰｽﾄﾏﾝ) :<S650>WM : :                                      ,K,本,2,1,1,1,3,HARA,,,,,170,3,,
B1705,3/B1705,B1705:TAC(ES)<110T>BR100/26 :S600 WMｼｮｰﾄﾊﾟｰﾝ : :                                ,K,本,2,1,1,1,3,HARA,,,,,1288.8,3,,
B1735,3/B1735,B1735:TAC<110T>BR100/26 : S600 WMｼｮｰﾄﾊﾟｰﾝ : :                                   ,K,本,2,1,1,1,3,HARA,,,,,1474,3,,
B2548,3/B2548,B2548:TAC<220T>BR200/34 :Tｷﾞﾝﾗﾒ(120ｷﾘ)62D S200 WS :<Z400>G :                    ,K,本,2,1,1,1,3,HARA,,,,,0,3,,
B3534,3/B3534,B3534:TAC(SJ)<66T>DL60/80 :<S350>WM :ﾘｮｳｺｳｻｲｼﾞﾝｸﾞ :                             ,K,本,2,1,1,1,3,HARA,,,,,0,3,,
B4257,3/B4257,B4257:Z10F<56T>SD50/12(B13) :TAC(ES)<84T>BR75/20 :<S1000>WM :                   ,K,本,2,1,1,1,3,HARA,,,,,0,3,,
B4316,3/B4316,B4316:TF<33T>SD30/12(C301S) :TAC(ES)<84T>BR75/20 :<S800>WM :                    ,K,本,2,1,1,1,3,HARA,,,,,974.8,3,,
B4966,3/B4966,B4966:TF(ｺｳｷｮｳﾘｮｸ)<1100T> :BR1000/240<S80>GK : :                                ,K,本,2,1,1,1,3,HARA,,,,,413.1,3,,
B5307,3/B5307,B5307:Z10F<56T>SD50/12(B13) :Z1600 WM(6KRPM) : :                                ,K,本,2,1,1,1,3,HARA,,,,,1499,3,,
B5317,3/B5317,B5317:Z10F<56T>SD50/12(B13) :S1600 WM(6KRPM) : :                                ,K,本,2,1,1,1,3,HARA,,,,,1499,3,,
B5367,3/B5367,B5367:Z10F<56T>SD50/12(B13) :Z1600 WM(9KRPM) : :                                ,K,本,2,1,1,1,3,HARA,,,,,1319,3,,
B5377,3/B5377,B5377:Z10F<56T>SD50/12(B13) :S1600 WM(9KRPM) : :                                ,K,本,2,1,1,1,3,HARA,,,,,1319,3,,
B5687,3/B5687,B5687:Z10F<22T>SD20/12 :TAC<61T>BR55/15 :<Z1200>WM :                            ,K,本,2,1,1,1,3,HARA,,,,,1618.5,3,,
B5697,3/B5697,B5697:Z10F<22T>SD20/12 :TAC<61T>BR55/15 :<S1200>WM :                            ,K,本,2,1,1,1,3,HARA,,,,,1618.5,3,,
B6097,3/B6097,B6097:ｿﾛ(EKT)F<56T>SD50/36 :TAC(ES)<110T>BR100/26 :<S1200>WS :                  ,K,本,2,1,1,1,3,HARA,,,,,1360.1,3,,
B6117,3/B6117,B6117:ｿﾛ(EKT)F<56T>SD50/36 :TAC(ES)<61T>BR55/15 :<S1200>WS :                    ,K,本,2,1,1,1,3,HARA,,,,,0,3,,
B6626,3/B6626,B6626:ﾄﾘｸｼｵﾝ(SDU)120TSD108/24:/2<Z800>WS : :                                    ,K,本,2,1,1,1,3,HARA,,,,,1046,3,,
B6636,3/B6636,B6636:ﾄﾘｸｼｵﾝ(SDU)120TSD108/24:/2<S800>WS : :                                    ,K,本,2,1,1,1,3,HARA,,,,,1046,3,,
B7085,3/B7085,B7085:Z10F<110T>SD100/24(B27):TAC(ES)<220T>BR200/34/2 :<S600>WS :               ,K,本,2,1,1,1,3,HARA,,,,,1228.5,3,,
B7527,3/B7527,B7527:ｽｰﾊﾟｰZ10F56TSD50/12 B07:TAC110TBR100/40 JCUPS(50):<S1200>WM :             ,K,本,2,1,1,1,3,HARA,,,,,1042.8,3,,
B7787,3/B7787,B7787:OHS.2F<33T>SD30/12 :TAC<61T>BR55/15 :<Z1200>WMｼｮｰﾄﾊﾟｰﾝ8KRPM :             ,K,本,2,1,1,1,3,HARA,,,,,1651.72,3,,
B7797,3/B7797,B7797:OHS.2F<33T>SD30/12 :TAC<61T>BR55/15 :<S1200>WMｼｮｰﾄﾊﾟｰﾝ8KRPM :             ,K,本,2,1,1,1,3,HARA,,,,,1651.72,3,,
B7927,3/B7927,B7927:Z10F<33T>SD30/12(B07) :TAC(ES)<84T>BR75/20 :<Z1200>WMｼｮｰﾄﾊﾟｰﾝ :           ,K,本,2,1,1,1,3,HARA,,,,,0,3,,
B7937,3/B7937,B7937:Z10F<33T>SD30/12(B07) :TAC(ES)<84T>BR75/20 :<S1200>WMｼｮｰﾄﾊﾟｰﾝ :           ,K,本,2,1,1,1,3,HARA,,,,,0,3,,
B8127,3/B8127,B8127:Z10F<33T>SD30/12(B07) :BB.F<56T>BR50/30 :<Z1200>WMｼｮｰﾄﾊﾟｰﾝ :              ,K,本,2,1,1,1,3,HARA,,,,,1755.5,3,,
B8137,3/B8137,B8137:Z10F<33T>SD30/12(B07) :BB.F<56T>BR50/30 :<S1200>WMｼｮｰﾄﾊﾟｰﾝ :              ,K,本,2,1,1,1,3,HARA,,,,,1755.5,3,,
B8147,3/B8147,B8147:Z10F<33T>SD30/12(B07) :BB.F<56T>BR50/30 :<Z1200>WMｼｮｰﾄﾊﾟｰﾝ6KRPM :         ,K,本,2,1,1,1,3,HARA,,,,,1755.5,3,,
B8157,3/B8157,B8157:Z10F<33T>SD30/12(B07) :BB.F<56T>BR50/30 :<S1200>WMｼｮｰﾄﾊﾟｰﾝ6KRPM :         ,K,本,2,1,1,1,3,HARA,,,,,1755.5,3,,
